Company_Name,Date_of_Reversal
Sprouts,2021-05-12
Publix,2021-05-13
Trader Joe,2021-05-14
Costco,2021-05-14
Target,2021-05-17
Starbucks,2021-05-17
Home Depot,2021-05-17
CVS,2021-05-17
Kohl's,2021-05-17
Walmart,2021-05-18
Sam's Club,2021-05-18
BJ's Wholesale Club,2021-05-18
Kroger,2021-05-18
Best Buy,2021-05-18
Dollar General,2021-05-18
Aldi,2021-05-18
Macy's,2021-05-18
Meijer,2021-05-18
Walgreens,2021-05-19
Lowe's,2021-05-19
Whole Foods,2021-05-19
Wegman's,2021-05-20
Office Depot,2021-05-20
McDonald's,2021-05-21
Petsmart,2021-05-26
